DateTime,BidOpen,BidHigh,BidLow,BidClose,AskOpen,AskHigh,AskLow,AskClose
06:00.0,1.29592,1.29592,1.29348,1.2935,1.29677,1.29677,1.29381,1.29381
07:00.0,1.2935,1.2936,1.29348,1.29348,1.29381,1.29381,1.2938,1.29381
08:00.0,1.29348,1.2935,1.29348,1.29348,1.29381,1.29381,1.29377,1.29377
09:00.0,1.29348,1.29361,1.29348,1.29358,1.29377,1.29378,1.29377,1.29378
10:00.0,1.29358,1.29365,1.29354,1.29358,1.29378,1.29381,1.29374,1.29377
11:00.0,1.29358,1.29365,1.2935,1.29356,1.29377,1.29392,1.29376,1.29392
12:00.0,1.29356,1.29367,1.29356,1.29366,1.29392,1.29392,1.29387,1.29392
13:00.0,1.29366,1.29367,1.29356,1.29362,1.29392,1.29392,1.29392,1.29392
14:00.0,1.29362,1.29362,1.29359,1.29362,1.29392,1.29392,1.29392,1.29392
15:00.0,1.29362,1.29367,1.29361,1.29363,1.29392,1.29468,1.29392,1.29467
16:00.0,1.29363,1.29367,1.29361,1.29365,1.29467,1.29467,1.29425,1.29425
17:00.0,1.29365,1.29365,1.29317,1.29317,1.29425,1.29432,1.29425,1.29427
18:00.0,1.29317,1.29317,1.29312,1.29312,1.29427,1.29429,1.29426,1.29426
19:00.0,1.29312,1.29318,1.29312,1.29318,1.29426,1.29441,1.29374,1.29432
21:00.0,1.29318,1.29318,1.29311,1.29316,1.29432,1.29437,1.2943,1.2943
27:00.0,1.29316,1.29474,1.29314,1.29462,1.2943,1.29491,1.2943,1.2948
28:00.0,1.29462,1.29463,1.2931,1.29312,1.2948,1.2948,1.29368,1.29368
29:00.0,1.29312,1.29317,1.29312,1.29316,1.29368,1.29368,1.29348,1.29361
30:00.0,1.29316,1.29317,1.29315,1.29315,1.29361,1.29376,1.29361,1.29376
31:00.0,1.29315,1.29345,1.29301,1.29331,1.29376,1.29376,1.29321,1.29351
32:00.0,1.29331,1.29331,1.29295,1.29308,1.29351,1.29351,1.29315,1.29318
33:00.0,1.29308,1.29357,1.293,1.29356,1.29318,1.29373,1.29318,1.29373
34:00.0,1.29356,1.29356,1.29346,1.29346,1.29373,1.29425,1.29373,1.29419
35:00.0,1.29346,1.29363,1.29311,1.29311,1.29419,1.29419,1.29331,1.29331
36:00.0,1.29311,1.29311,1.29295,1.29306,1.29331,1.29331,1.2931,1.29325
37:00.0,1.29306,1.29306,1.293,1.29301,1.29325,1.29325,1.29318,1.29321
38:00.0,1.29301,1.29334,1.29292,1.29292,1.29321,1.29351,1.29307,1.29307
39:00.0,1.29292,1.29292,1.2927,1.2927,1.29307,1.29307,1.29289,1.29289
40:00.0,1.2927,1.2927,1.29263,1.29264,1.29289,1.29296,1.29289,1.29295
41:00.0,1.29264,1.29264,1.29263,1.29263,1.29295,1.29298,1.29295,1.29298
42:00.0,1.29263,1.29308,1.29259,1.29307,1.29298,1.29317,1.29286,1.29317
43:00.0,1.29307,1.29308,1.29284,1.29293,1.29317,1.29319,1.29317,1.29319
